Project,Plans
 ,https://www.facebook.com/WoodworkingForMereMortals/
Projects,https://woodworkingformeremortals.com/projects/
Plywood Lifting Cleat (PDF),https://drive.google.com/file/d/1TVBSOf3aG1WTjCyMdtIjkE9lrWryNK06/view?usp=sharing
Basic Box (pdf),https://drive.google.com/open?id=1xWSW-zXbpfLDOVEGPD8YuQwtxpBInxFa
Salad Servers (PDF),https://drive.google.com/open?id=1TTC4QQb7-Im_zuTWsYJ73_Z13tpkFwDi
Folding Sawhorses (PDF),https://drive.google.com/file/d/1y1icv3QYq13-lc_jslpcBIcNzXrqtUmn/view?usp=sharing
Sushi Serving Set (PDF),https://drive.google.com/file/d/1mvSHqtRvVnZFq_8B5-vGDuNpU7m8rTDF/view?usp=sharing
Budget-Friendly Outdoor Bench (PDF),https://drive.google.com/open?id=1SYhjansTlIf_ZcK_2l4XBExvNSPK1DSJ
Campfire Seat Plans (PDF),https://drive.google.com/file/d/1ZimyOj1yI9hky3V_84TRugI6NymuxR9v/view?usp=sharing
WWMM Adirondack Chair (PDF),https://drive.google.com/file/d/1K0xAO_dRj49peuitJiWUEKO9UjTA21He/view
WWMM Side Table METRIC ,https://drive.google.com/drive/folders/0Byv0IjzK8MhvcXBfcUdqODltWnc
WWMM Razor Sharpening Box (pdf),https://drive.google.com/open?id=1Qn1cIaiUeFl7gNw9v8fcgGxaNb13UQUO
WWMM Coffin Plans (pdf) ,https://drive.google.com/open?id=0Byv0IjzK8MhvRjM2a3BVUDYycjA
WWMM Mobile Tablesaw Cart (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvNUpsUVJCTUlBMjQ
Wrap-around corner picture frames (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvTmk1MFVPTFh3UlU
WWMM Rubber Band Boat (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvRGZaMmVQNWtqTUk
You can download my planter box plans here.,https://drive.google.com/file/d/0Byv0IjzK8MhveWJTVWNiN3BkRHc/view?usp=sharing
WWMM Aggravation Board Game (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvM2pWOG93cWZ6UEE
WWMM Award Medal Display (pdf),https://drive.google.com/open?id=0Byv0IjzK8Mhvd2dPWjEzZFNBRVk
Click here to download my cutting templates.,https://drive.google.com/open?id=0Byv0IjzK8MhvNlV4UTVMM0dFaTA
WWMM Gentleman’s Stand (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvY3IxR3plenFtaEE
WWMM K-Cup Coffee Pod Dispenser (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvdnBzb1ptXzFndzg
Legend of Zelda Master Sword Templates (pdf) ,https://drive.google.com/open?id=0Byv0IjzK8MhvMldqRGE2YnZMNWM
WWMM Drill Press Table (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvUDgwaXlvX3BnR0k
WWMM Contemporary Dining Table (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvRTZKajkzT2w2ak0
WWMM Nutcracker Templates,https://drive.google.com/open?id=0Byv0IjzK8MhvQXVIWkNCMHhseGs
WWMM Score Four Game (pdf),https://drive.google.com/open?id=0Byv0IjzK8MhvbW5WOFQ0OFo0MVU
My snowy scene scroll saw templates,https://drive.google.com/open?id=0Byv0IjzK8MhvTk1JMk9XcjdNM1E
WWMM Santa’s Mailbox (PDF),https://drive.google.com/open?id=0Byv0IjzK8MhvWlptVTVPYk14Um8
